Von,Bis,Dauer,Beschreibung,Titel
13:00,13:30,30,Einführung in Coding in GIS I - III,Vorlesung
13:30,13:45,15,Einführung in die Übungen,Vorlesung
13:45,13:50,5,Pause,Pause
13:50,14:00,10,Einführung in die Übungen (Demo),Primitive Datentypen
14:00,14:35,35,Übung 1 - 7 individuell lösen (5 Minuten pro Übung),Primitive Datentypen
14:35,14:50,15,Pause,Pause
14:50,15:00,10,Unklarheiten bereinigen und Einführung Zusammengesetzte Datentypen (Demo),Komplexe Datentypen
15:00,15:05,5,Lesen,Komplexe Datentypen
15:05,15:35,30,Übung 1 - 7 individuell lösen (4 - 5 Min pro Übung),Listen
15:35,15:50,15,Pause,Pause
15:50,15:55,5,Unklarheiten bereinigen und Einfühung Dictionaries,Dictionary
15:55,16:35,40,Übungen 1-8 lösen (5 Minuten pro Übung),Dictionary